Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_cultural_00807,2,"ეს [MASK] ფილოსოფიურად განაზოგადა ჰეგელმა, რომლის მოღვაწეობა საფუძვლად დაედო კ. შნააზეს ისტორიად გააზრებულ მსოფლიო ხელოვნების ისტორიას.",წარმოდგენა,წარმოდგენას,წარმოდგენამ,9.208281490927315e-17,53.269845676730824,4.750884204242917e-17,54.224581569460035,4.907165559659555e-17,54.1778876667105,0.63
1,wiki_cybernetics_00852,12,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას [MASK] შეუწყო კიბერნეტიკისა და ინფორმატიკის განვითარებამ.",ხელი,ხელს,ხელმა,2.315602978342214e-05,15.398252557153315,9.21831094079473e-12,36.65863470692771,3.175106370922041e-12,38.196332213462405,0.63
2,wiki_electrochemistry_01010,7,1838 რუსმა ფიზიკოსმა იაკობიმ აღმოაჩინა გალვანოპლასტიკის [MASK].,მოვლენები,მოვლენებს,მოვლენებმა,8.60605889964844e-18,56.689352993884306,1.9967982015998083e-18,58.79701716801079,1.2561633280588296e-17,56.14375355549478,0.63
3,wiki_electrochemistry_01013,7,1888–89 გერმანელმა ფიზიკოსმა და ქიმიკოსმა ნერნსტმა [MASK] ჩაუყარა გალვანური ელემენტის ემძ-ის თეორიას.,საფუძველი,საფუძველს,საფუძველმა,3.564437366742918e-12,38.0294627680855,1.0370236614534503e-11,36.48876023170038,1.2466747914124996e-11,36.22312387210266,0.63
4,wiki_energy_01034,1,"[MASK] „ბნელი მატერია“ ასტროფიზიკოსმა მაიკლ ტერნერმა დაამკვიდრა, როდესაც 1998 წელს ასტრონომებმა განაცხადეს, რომ სიჩქარე, რომლითაც სამყარო ფართოვდებოდა, როგორც ჩანს, აჩქარებას უნდა განიცდიდეს.",ტერმინი,ტერმინს,ტერმინმა,1.0392048612991838e-11,36.4857289590598,5.223144318523663e-17,54.087859046318904,2.5289302255043447e-17,55.134250380238825,0.63
5,wiki_ethics_01128,4,უფრო ადრე ეთიკის [MASK] გაარჩია პლატონმა.,საკითხები,საკითხებს,საკითხებმა,1.078950733115108e-11,36.431580053553446,3.838113790980289e-12,37.922739653991194,1.9509193050002676e-11,35.57705493812752,0.63
6,wiki_ethics_01131,4,მანვე შემოგვინახა არსებითი [MASK] სოკრატეს ეთიკურ შეხედულებებზე.,ცნობები,ცნობებს,ცნობებმა,2.968679437357108e-17,54.902956295814356,9.855339774997486e-18,56.493800097154924,4.4204528557743134e-17,54.32858343819398,0.63
7,wiki_farming_01202,10,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც ადამიანმა გარეული [MASK] მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ცხოველები,ცხოველებს,ცხოველებმა,1.1688734097740558e-17,56.24765892015349,3.923092880049997e-24,77.75428278536849,1.599991875712505e-17,55.79471303353442,0.63
8,wiki_forestry_01258,4,დედამიწის თანამედროვე ტყის [MASK] მნიშვნელოვნად შეცვალა ადამიანის ჩარევამ.,საფარი,საფარს,საფარმა,2.3528489459844723e-11,35.30680034192993,4.8555986187369e-17,54.19312844492879,1.7084227273556446e-12,39.090472143080135,0.63
9,wiki_geology_01375,3,ზღვის გეოლოგიას [MASK] ჩაუყარა 1872-1876 წლებში გემ „ჩელინჯერით“ ჩატარებულმა ინგლისურმა ოკეანოგრაფიულმა ექსპედიციამ.,საფუძველი,საფუძველს,საფუძველმა,1.0934224051672059e-11,36.41235820074352,1.5333462172175356e-11,35.924525561070475,2.101650176797846e-12,38.79161458837761,0.63
10,wiki_hydrology_01568,2,"პრაქტიკული [MASK] ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის შესწავლამ (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",გამოყენება,გამოყენებას,გამოყენებამ,4.918821701470883e-11,34.2428962828786,2.8447812841693393e-11,35.032891305947516,2.1570579074793313e-11,35.43214413675178,0.63
11,wiki_hydrology_01572,3,"დედამიწის ბუნებრივი [MASK] მხოლოდ ადამიანთა საზოგადოების გაჩენამ (ადრინდელი პალეოლითი) აქცია გეოგრაფიულ გარემოდ და ისიც მხოლოდ იმ ტერიტორიაზე, სადაც საზოგადოება ცხოვრობდა.",გარემო,გარემოს,გარემომ,6.484890036517749e-06,17.234486458242042,3.3519245880763177e-11,34.79621935225122,2.004621096172076e-11,35.53787947258311,0.63
12,wiki_industry_01622,13,"1913 წელს უკვე ფუნქციონირებდა 5 ფაბრიკა, რომლებმაც გამოიმუშავა 131 ტ ბაიხაოს [MASK].",ჩაი,ჩაის,ჩაიმ,9.069685441361625e-12,36.68208462318201,9.947701032825617e-12,36.54877398904902,1.4696874243115898e-11,35.98569969097604,0.63
13,wiki_irrigation_01719,7,"2008 წლის აგვისტოს ომის შემდეგ არხის [MASK] ე.წ. სამხრეთ ოსეთის დე ფაქტო ხელისუფლებამ გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",სათავე,სათავეს,სათავემ,3.6124129780751307e-11,34.68824620981179,3.80092874666714e-17,54.54642563281911,6.104200548026753e-11,33.93140668236004,0.63
14,wiki_literature_01851,2,"ლიტერატურული [MASK], რომელსაც ევალება მწერალთათვის ყოველნაირი მატერიალურ-საყოფაცხოვრებო დახმარების აღმოჩენა, 1927 წელს ხელახლა ჩამოაყალიბა საბჭოთა მწერლების გაერთიანებათა ფედერაციამ, ხოლო 1934 — სსრკ მწერალთა კავშირმა.",ფონდი,ფონდს,ფონდმა,9.851131755402599e-11,33.240919564459816,1.3416182864843306e-16,52.726875259871285,1.5452337214479514e-16,52.52302445141301,0.63
15,wiki_marketing_01927,11,"გამოკვლევების მიხედვით, აშშ-ის ფირმებმა 2011 წელს 1.51 მილიარდი აშშ [MASK] დახარჯეს E-mail მარკეტინგზე.",დოლარი,დოლარს,დოლარმა,4.730863070909004e-11,34.299105639364456,2.8895593149408255e-16,51.62000003330152,7.090741123726151e-18,56.968769282250285,0.63
16,wiki_marketing_01928,3,"ღია ვაჭრობამ [MASK] კიდევ ერთხელ 1920-იან წლებში დაიწყო, თუმცა დიდი დეპრესიის დროს კოლაფსი განიცადა (კონკრეტულად, ევროპასა და ჩრდილოეთ ამერიკაში).",ზრდა,ზრდას,ზრდამ,6.530796591894264e-12,37.15587816386231,2.1120839949732267e-16,52.072182308159704,1.738497541000314e-16,52.35300849173574,0.63
17,wiki_mechanics_01979,3,მექანიკამ დასრულებული [MASK] მიიღო ისააკ ნიუტონის შრომებში.,სახე,სახეს,სახემ,1.372758447359956e-06,19.47449078029527,3.670176660864615e-12,37.98728763099695,4.311061110771885e-12,37.7550941252893,0.63
18,wiki_medicine_02020,19,"ბუნებისმეტყველებისა და ტექნიკის მიღწევებმა, კლინიკურ-ანატომიური და კლინიკურ-ექსპერიმენტული მიმართულებების განვითარებამ, ავადმყოფობის კვლევის ობიექტურმა მეთოდებმა განაპირობებს მეცნიერული მედიცინის [MASK].",ჩამოყალიბება,ჩამოყალიბებას,ჩამოყალიბებამ,3.459281393321892e-12,38.07266476493806,9.361659528835341e-18,56.56794141087745,6.578090214049628e-13,40.46739643964188,0.63
19,wiki_metallurgy_02045,4,ლითონმცოდნეობის დამოუკიდებელ მეცნიერებად [MASK] განაპირობა ტექნიკურმა მოთხოვნებმა.,ჩამოყალიბება,ჩამოყალიბებას,ჩამოყალიბებამ,7.333949454185271e-12,36.988546815664975,1.3518477871448727e-17,56.037844894226644,4.8304886732979e-12,37.59096799288305,0.63
20,wiki_metaphysics_02067,6,"პარმენიდემ ვერ შეძლო ბუნების მრავალფეროვნების [MASK], არსის მეტაფიზიკა დაუპირისპირა ფიზიკას, როგორც ბუნების ფილოსოფიას.",ახსნა,ახსნას,ახსნამ,1.3981137753074422e-16,52.66736774947812,7.061803742819358e-17,53.6527408858981,2.5833726223998568e-17,55.10352186211219,0.63
21,wiki_mineralogy_02109,8,1635 წელს იტალიელმა მეცნიერმა ბ. ცეზიუსმა შემოიღო [MASK] „მინერალოგია“.,ტერმინი,ტერმინს,ტერმინმა,2.277757763544906e-12,38.67552281210928,3.3888923542569996e-17,54.71196380171208,2.9979530819407055e-17,54.88879980784513,0.63
22,wiki_mineralogy_02115,5,მინერალოგიური შინაარსის უძველესი წერილობითი [MASK] - ეპიფანე კვიპრელის (319-403) მინერალოგიური ტრაქტატის თარგმანი „თვალთა“ — შემოგვინახა „შატბერდის კრებულმა“ (X ს.).,წყარო,წყაროს,წყარომ,2.684014853636525e-11,35.116816388166086,2.659475971898668e-11,35.130067041350785,1.3005436118006611e-11,36.16209426503096,0.63
23,wiki_molecular_02137,18,50-იანი წლების ბოლოს ინგლისელმა მეცნიერმა ჯ. კენდრიუმ და მ. პერუციმ რენტგენოსტრუქტურული ანალიზით დაადგინეს მიოგლობინისა და ჰემოგლობინის სამგანზომილებიანი [MASK].,სტრუქტურა,სტრუქტურას,სტრუქტურამ,1.9774667065195443e-17,55.489124208017174,1.44198115230431e-17,55.9447253054099,3.300430040372054e-17,54.75012359567748,0.63
24,wiki_morphology_02147,1,"[MASK] „მორფოლოგია“ მეცნიერებაში დაამკვიდრა იოჰან ვოლფგანგ ფონ გოეთემ[1], როდესაც გამოაქვეყნა შრომა სახელწოდებით „მცენარეთა მეტამორფოზების ახსნის ცდა“.",ტერმინი,ტერმინს,ტერმინმა,4.330391074594675e-12,37.74863981903093,8.819639973343775e-17,53.33205784837637,2.065716214198456e-17,55.42613554111348,0.63
25,wiki_morphology_02161,2,გეომორფოლოგიური [MASK] (მორფოლოგიური ანალიზი) შემოგვთავაზა გერმანელმა გეოლოგმა და გეომორფოლოგმა ვალტერ პენკმა 1924 წელს.,ანალიზი,ანალიზს,ანალიზმა,6.71536539288095e-17,53.72531171214346,2.2166112571054337e-16,52.00249374150739,6.818460063250924e-17,53.70333166708661,0.63
26,wiki_music_02181,6,თანამედროვე ევროპული მუსიკალური ნოტაციის პირველი [MASK] კათოლიკე ბერებმა მსოფლიო მასშტაბით საეკლესიო ლიტურგიის სტანდარტიზების მიზნით განავითარეს.,ფორმები,ფორმებს,ფორმებმა,4.388203745835624e-12,37.72950662651649,1.1351890225756406e-11,36.35827650022967,3.3165074385224564e-11,34.81154428209271,0.63
27,wiki_novel_02197,5,"ბლოხმა მოგვიანებით წიგნის სამი [MASK] დაწერა, თუმცა ფილმის გაგრძელებებთან კავშირში არცერთი მათგანია.",გაგრძელება,გაგრძელებას,გაგრძელებამ,2.5495407894042163e-17,55.12254019365156,5.972725405221604e-23,73.82595678670233,1.5710456055317848e-17,55.821052552173256,0.63
28,wiki_novel_02205,2,"ეს [MASK] ლიტერატურის თეორიაში პირველად შემოიტანეს ნორთროპ ფრაიმ და მიხეილ ბახტინმა, როგორც განზოგადება ანტიკური ჟანრისა „მენიპოსის სატირა“.",ტერმინი,ტერმინს,ტერმინმა,6.721054256672958e-12,37.11444958844508,1.813770859612842e-16,52.29185731182476,2.0623734746685723e-16,52.10654390456897,0.63
29,wiki_paleogeography_02282,4,"ქართულ პალეოგრაფიას მეცნიერული [MASK] ივანე ჯავახიშვილმა ჩაუყარა, წიგნით — „ქართული დამწერლობათმცოდნეობა, ანუ პალეოგრაფია“.",საფუძველი,საფუძველს,საფუძველმა,1.1940166147556008e-11,36.28538613189969,1.6279155663860794e-11,35.83818316916603,4.990325048836732e-12,37.54400334892311,0.63
30,wiki_paleogeography_02284,4,ფილიგრანის აღმნიშვნელი ქართული [MASK] ჭვირნიშანი ივანე ჯავახიშვილმა შემოიღო.,ტერმინი,ტერმინს,ტერმინმა,4.456919648220276e-12,37.70709018715685,2.549140997420977e-17,55.12276643954683,6.977467409897108e-17,53.670074132265995,0.63
31,wiki_paleontology_02316,6,ყველა ამ ტექნიკის გამოყენებამ პალეონტოლოგებს [MASK] მისცა აღმოეჩინათ დედამიწაზე ცხოვრების ევოლუციური ისტორიის დიდი ნაწილი.,საშუალება,საშუალებას,საშუალებამ,7.341471928157265e-07,20.377427319050554,3.4014409092356527e-12,38.096991112214724,7.840533984226864e-13,40.214113320246,0.63
32,wiki_philology_02413,2,განსაკუთრებული [MASK] ჰპოვა ამ დარგმა მეოცე საუკუნის საქართველოში.,განვითარება,განვითარებას,განვითარებამ,7.4061972554773025e-06,17.042835594793143,3.2086594331127076e-11,34.859238373565866,1.2612512766796951e-11,36.20635331408562,0.63
33,wiki_physical_02468,1,[MASK] ფიზიკური ქიმია შემოიღო მიხეილ ლომონოსოვმა.,ტერმინი,ტერმინს,ტერმინმა,1.6329642015599733e-12,39.15564397469179,7.932744311297479e-17,53.484957564383826,9.718614199849792e-17,53.192027001881584,0.63
34,wiki_physical_02476,11,1840 წელს ჰერმან ჰესმა აღმოაჩინა რეაქციის სითბური ეფექტების ჯამის მუდმივობის [MASK].,კანონი,კანონს,კანონმა,4.589938725985118e-06,17.733093675011332,4.70086565041695e-12,37.63021068939663,8.073875278154715e-12,36.84987583780682,0.63
35,wiki_physical_02478,7,მან მათემატიკურად გამოსახა ქიმიური კინეტიკის ძირითადი [MASK] (ვანტ-ჰოფის კანონი).,კანონები,კანონებს,კანონებმა,4.350806806817862e-12,37.74185418176389,3.2570143772883917e-12,38.15958705047828,7.408961088825483e-12,36.97386588182308,0.63
36,wiki_physical_02487,8,გასული საუკუნის 30-იან წწ. ფიზიკური გეოგრაფიის ძირითადი [MASK] დაამუშავეს ლევ ბერგისა და ანდრია გრიგორიევის მიმდევრებმა.,მიმართულებები,მიმართულებებს,მიმართულებებმა,5.151992896986386e-12,37.49800653422718,3.795266453141503e-12,37.93893596259088,2.6961970678250904e-12,38.43221119020591,0.63
37,wiki_physical_02495,1,[MASK] დედამიწისმცოდნეობა პირველად შემოიღო გერმანელმა გეოგრაფმა კარლ რიტერმა XIX საუკუნის დასწყისში და იხმარებოდა დაახლოებით ქვეყანათმცოდნეობის გაგებით.,ტერმინი,ტერმინს,ტერმინმა,2.243059716832268e-12,38.69766910893708,3.463595001543027e-17,54.68050736761192,4.0511215624703685e-17,54.45445623629536,0.63
38,wiki_phytopathology_02532,3,ამ აღმოჩენებმა [MASK] დააინტერესა და შემდგომში ასეთივე ბუნების პარაზიტული სხვა ორგანიზმებიც (ბაქტერიები და სხვა) აღმოაჩინეს.,ბევრი,ბევრს,ბევრმა,1.501730707786919e-06,19.344942439143107,1.5950283905056752e-11,35.86762694047478,6.132007965130251e-12,37.24677756767148,0.63
39,wiki_semiotics_02659,3,"მის ჩამოყალიბებას [MASK] შეუწყო მათემატიკური ლოგიკის, ემპირიული ფსიქოლოგიის, კიბერნეტიკის, მათემატიკური ლინგვისტიკის განვითარებამ.",ხელი,ხელს,ხელმა,6.706663953082168e-06,17.18597325374351,1.4680150696723028e-11,35.98734226575022,4.265293509969475e-12,37.77049211672783,0.63
40,wiki_sociology_02715,1,[MASK] პირველად გამოიყენა სოციოლოგიის მამად აღიარებულმა ოგიუსტ კონტმა.,ტერმინი,ტერმინს,ტერმინმა,4.7550807447031235e-12,37.61366729935142,7.364453960204867e-17,53.592199052944,1.514778683468658e-16,52.55174249386338,0.63
41,wiki_telecommunications_02847,7,"განასხვავებენ ასევე საფოსტო კავშირს, რომელსაც [MASK] ჩაუყარა წერილობითმა ინფორმაციამ, საფოსტო კავშირი ინფორმაციის მიღება-გადაცემას ფოსტის საშუალებით ახდენს.",საფუძველი,საფუძველს,საფუძველმა,2.4251214457192e-11,35.26315204707991,6.427345158500429e-12,37.17891418921048,3.3737084815804763e-12,38.10880182132051,0.63
42,wiki_theater_02866,6,"1949 წლის 9 ივნისს ხანძარმა [MASK] გაანადგურა, გადარჩა მხოლოდ ფასადი, რუსთაველის პროსპექტზე, რომლის  აღდგენა ერთ წელიწადში მოხერხდა.",შენობა,შენობას,შენობამ,1.4724749755766743e-11,35.98296592781609,3.7820950089614086e-17,54.55359200779965,2.817152726114449e-11,35.04697126519714,0.63
43,wiki_veterinary_02931,2,"პირველად [MASK] „ვეტერინარია“, იხმარა რომაელმა აგრონომმა და მეცნიერმა კოლუმელიამ (ახ.წ. I საუკუნე).",ტერმინი,ტერმინს,ტერმინმა,4.68579923221891e-12,37.63484199684319,4.770734137913144e-17,54.21856632261318,5.934936256813103e-17,53.90354507815875,0.63
44,wiki_automotive_00362,3,მექანიკამ მეცნიერული [MASK] მიიღო გალილეო გალილეის შრომებში.,სახე,სახეს,სახემ,1.2796374448953438e-06,19.575833454835145,6.74253217007839e-12,37.10984663876117,1.1298117535725783e-12,39.68705472424791,0.63
45,wiki_banking_00400,17,"2014 წლის 18 ივლისს, ეროვნული ბანკის აღმასრულებელმა დირექტორმა, გიორგი მელაშვილმა Unicode Consortium-ს გაუგზავნა წერილობითი [MASK], ლარის სიმბოლოს Unicode Standard-ის ვალუტების ბლოკში დასარეგისტრირებლად.",მოთხოვნა,მოთხოვნას,მოთხოვნამ,1.8359938181749134e-17,55.596216411906106,1.2596973202785963e-17,56.13970048808287,8.472989402463625e-18,56.71183464334902,0.63
46,wiki_bioinformatics_00465,4,ინფორმატიკის განვითარებას დიდი [MASK] მისცა კომპიუტერის გამოგონებამ და კომპიუტერული ტექნოლოგიის განვითარებამ.,სტიმული,სტიმულს,სტიმულმა,4.163110131362312e-11,34.48354731956855,6.814583404285462e-16,50.382224054702476,8.786858701355568e-16,50.015502023587075,0.63
47,wiki_bioinformatics_00480,18,"როდესაც ინჟინრები და ბიოლოგები ერთობლივად მუშაობდნენ, წარმოიშვა პრობლემა, რომ ინჟინერებმა არ იცოდნენ საკმარისი და საჭირო [MASK] ბიოლოგიის შესახებ.",ინფორმაცია,ინფორმაციას,ინფორმაციამ,2.754995193754439e-06,18.46951876738897,7.766855060868365e-12,36.90580659491364,8.124478846135235e-12,36.84086186595348,0.63
48,wiki_criminal_00758,4,"პირველი სისხლის სამართლის [MASK] მიიღო საფრანგეთმა, რომელსაც ნაპოლეონის კოდექსსაც კი უწოდებენ.",კოდექსი,კოდექსს,კოდექსმა,7.449063982683987e-17,53.57571845897055,3.7909582005464823e-22,71.15985553821382,7.830984976414511e-22,70.11322430730868,0.63
49,GLC_00004,4,მე ჩემი წილი [MASK] ჩავისუნთქე.,სული,სულს,სულმა,9.757319859180499e-12,36.576652215948606,1.6304370866581147e-12,39.157878365465976,7.573101995855686e-12,36.94225277933972,0.63
