Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cultural_00812,6,"კულტურათა ურთიერთქმედება ეწოდება უშუალო კავშირურთიერთობის [MASK], რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",სახეს,სახე,სახემ,-565.0436982433288,565.0436982433288,-557.0378612936795,557.0378612936795,-559.0053243625658,559.0053243625658
1,wiki_customs_00815,4,აზერბაიჯანის სახელმწიფო საბაჟო [MASK] (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო კონტროლი და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კომიტეტს,კომიტეტი,კომიტეტმა,-825.9030478638182,825.9030478638182,-806.7229484525433,806.7229484525433,-834.020352086187,834.020352086187
2,wiki_cybernetics_00837,3,"გამოყენებითი ეწოდება [MASK], რომელიც პრაქტიკულ საქმიანობაში და ტექნოლოგიური პროცესების განხორციელებისას იყენებს თეორიულ მეცნიერულ ცოდნას.",მეცნიერებას,მეცნიერება,მეცნიერებამ,-502.067917332827,502.067917332827,-498.8064600193514,498.8064600193514,-507.9732209657704,507.9732209657704
3,wiki_cybernetics_00846,25,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას [MASK] ექნება უნარი მიაღწიოს ადამიანის ინტელექტის გაგებას.",რომელსაც,რომელიც,რომელმაც,-1159.7973368029714,1159.7973368029714,-1157.5300978653595,1157.5300978653595,-1159.4822802692272,1159.4822802692272
4,wiki_documentary_00893,2,მუშნის [MASK] აზრი ეკარგება და იგი ნოსტალგიით იტანჯება.,არსებობას,არსებობა,არსებობამ,-342.87967410717647,342.87967410717647,-341.74398982927556,341.74398982927556,-352.8301617208724,352.8301617208724
5,wiki_documentary_00900,1,[MASK] ეკუთვნის ასევე დოკუმენტური მოთხრობა „ახალი ბაღი“ (1936) და დაუმთავრებელი რომანი „ოქროს საწმისი“ (ნაწყვეტები გამოქვეყნდა 1941 წელს).,მას,იგი,მან,-619.0499932216503,619.0499932216503,-608.5490772236833,608.5490772236833,-615.4784659239434,615.4784659239434
6,wiki_education_00955,1,[MASK] საქართველოში დიდი ისტორია აქვს.,განათლებას,განათლება,განათლებამ,-73.31427456481431,73.31427456481431,-70.8254036731237,70.8254036731237,-94.10641845721887,94.10641845721887
7,wiki_electricity_00985,6,"სადენების, ნათურისა და ბატარეის [MASK] ელექტრული წრედი ჰქვია.",მთლიანობას,მთლიანობა,მთლიანობამ,-341.3744678075025,341.3744678075025,-337.83064785152567,337.83064785152567,-351.9560253866761,351.9560253866761
8,wiki_energy_01027,16,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა მეცნიერებმა საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ [MASK] ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",არისტოტელეს,არისტოტელე,არისტოტელემ,-981.849668694492,981.849668694492,-976.0594559933638,976.0594559933638,-991.8106816264653,991.8106816264653
9,wiki_energy_01040,2,"იონიზაციის [MASK] ყოველთვის აქვს ენდოენერგეტიკული მნიშვნელობა (ეს გასაგებიცაა, რათა მოვწყვიტოთ ელექტრონი ატომს, საჭიროა მოვდოთ ენერგია მას, და თავისით ეს ვერ მოხდება).",ენერგიას,ენერგია,ენერგიამ,-825.9767735807678,825.9767735807678,-890.7413608113545,890.7413608113545,-901.5338265151651,901.5338265151651
10,wiki_entomology_01079,1,"[MASK] აქვთ მღრღნელი (ახასიათებთ სწორფრთიანებს, ხეშეშფრთიანებს ანუ ხოჭოებს და სხვა) ან მწუწნავი (ახასიათებთ ქერცლფრთიანებს ანუ პეპლებს, ბუზებს) პირის აპარატი.",მწერებს,მწერები,მწერებმა,-742.9014621120788,742.9014621120788,-800.3031519964698,800.3031519964698,-774.0165663396176,774.0165663396176
11,wiki_entomology_01084,1,"[MASK] ახასიათებთ მკვეთრი, ლამაზი შეფერილობა, უფრო ხშირად მბრწყინავი ლურჯი ან მწვანე ელფერი დაკრავთ.",ხოჭოებს,ხოჭოები,ხოჭოებმა,-610.0092553679009,610.0092553679009,-578.2974785248591,578.2974785248591,-603.2756572071871,603.2756572071871
12,wiki_entomology_01088,2,უკანა [MASK] ეკუთვნის მსხვილი და სწორი ნაწლავი.,ნაწლავს,ნაწლავი,ნაწლავმა,-249.54002857438633,249.54002857438633,-248.12920998160308,248.12920998160308,-245.73294548918,245.73294548918
13,wiki_epidemiology_01114,2,მსხვილმასშტაბიან [MASK] პანდემია ეწოდება.,ეპიდემიას,ეპიდემია,ეპიდემიამ,-250.77863882548812,250.77863882548812,-247.57500246880932,247.57500246880932,-258.8106000537992,258.8106000537992
14,wiki_ethics_01132,2,"ეთიკის [MASK] არ გააჩნია კანონის ძალა და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, რომლებიც თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",კოდექსს,კოდექსი,კოდექსმა,-913.1015165022004,913.1015165022004,-929.4224720902336,929.4224720902336,-902.1994056736764,902.1994056736764
15,wiki_ethnography_01166,1,"[MASK] ძველთაგანვე აინტერესებდათ მახლობელი თუ შორეული ხალხების ყოფის თავისებურებანი, მათი ზნე-ჩვეულებები და რწმენა-წარმოდგენები.",ადამიანებს,ადამიანები,ადამიანებმა,-629.4651642153143,629.4651642153143,-629.38483296844,629.38483296844,-774.875816616595,774.875816616595
16,wiki_farming_01204,5,"დიდი სასურსათო მნიშვნელობა აქვს [MASK], რომლისთვისაც ამრავლებენ საკვერცხე მიმართულების ქათმებს.",კვერცხს,კვერცხი,კვერცხმა,-412.84951604242093,412.84951604242093,-433.24817749200855,433.24817749200855,-427.3489763462637,427.3489763462637
17,wiki_finance_01239,2,"სახელმწიფო [MASK] ბიუჯეტის ფორმირების, განხილვის, დამტკიცების, შესრულების და შესრულების შესახებ ანგარიშის შედგენისა და დამტკიცების საქმეში ეწოდება საბიუჯეტო პროცესი.",ქმედებას,ქმედება,ქმედებამ,-598.3855684982965,598.3855684982965,-611.5807238646768,611.5807238646768,-640.5626485183176,640.5626485183176
18,wiki_finance_01240,4,"ფინანსური ინფორმაციის ყველა [MASK], საკუთარი ინტერესებიდან გამომდინარე, სხვადასხვა სახის ინფორმაცია აინტერესებს, მაგრამ ბასს-ები ორიენტირებულნი არიან ინვესტორთა ინტერესებზე.",მომხმარებელს,მომხმარებელი,მომხმარებელმა,-537.9260775555244,537.9260775555244,-492.9066657800371,492.9066657800371,-536.6197945102947,536.6197945102947
19,wiki_forestry_01244,2,მთის [MASK] უკავიათ მრავალი ქედის ფერდობი მთისწინეთიდან დაწყებული ალპურ სარტყლამდე და მთის ტუნდრამდე.,ტყეებს,ტყეები,ტყეებმა,-449.6611463161716,449.6611463161716,-439.6334467344723,439.6334467344723,-443.8356428138834,443.8356428138834
20,wiki_general_01277,4,"გარდა ამისა, [MASK] აქვს უნარი წარმოქმნას მდგრადი გრძელი, სწორი და განტოტვილჯაჭვიანი ნაერთები.",ნახშირბადს,ნახშირბადი,ნახშირბადმა,-520.8472139079736,520.8472139079736,-514.1536186013917,514.1536186013917,-519.7851453679583,519.7851453679583
21,wiki_geology_01367,1,[MASK] მრავალსაუკუნოვანი ისტორია აქვს.,გეოლოგიას,გეოლოგია,გეოლოგიამ,-179.4208422288748,179.4208422288748,-164.95501666762496,164.95501666762496,-194.32880729659882,194.32880729659882
22,wiki_geophysics_01403,3,დედამიწის სეისმურობის [MASK] დიდი სახალხო-სამეურნეო მნიშვნელობა აქვს მშენებლობის რაციონალურად წარმართვისათვის (სეისმომედეგი ანუ ანტისეისმური მშენებლობა).,შესწავლას,შესწავლა,შესწავლამ,-753.1645306180303,753.1645306180303,-702.1617375005292,702.1617375005292,-720.5730525836117,720.5730525836117
23,wiki_history_01516,5,"არსებობს გარკვეული კრიტერიუმები, [MASK] სამეცნიერო ლიტერატურა უნდა აკმაყოფილებდეს.",რომელსაც,რომელიც,რომელმაც,-211.71655471748232,211.71655471748232,-211.3438291784243,211.3438291784243,-207.79146535670694,207.79146535670694
24,wiki_hydrogeology_01555,3,ამგვარ წყალშემცველ [MASK] არტეზიული აუზი ეწოდება.,სტრუქტურას,სტრუქტურა,სტრუქტურამ,-282.82789736730183,282.82789736730183,-280.2059697763771,280.2059697763771,-285.2776481824405,285.2776481824405
25,wiki_international_01699,1,"[MASK] რა თქმა უნდა აქვს გარკვეული ტრადიციებიც, რადგან მრავალი საუკუნის განმავლობაში იგი ვითარდებოდა, როგორც სხვა სოციალური მეცნიერებების შემადგენელი ნაწილი.",თეორიას,თეორია,თეორიამ,-507.126314298151,507.126314298151,-462.1032986462948,462.1032986462948,-472.7871124395893,472.7871124395893
26,wiki_metaphysics_02053,13,"ახლა მეცნიერული ცოდნის გაღრმავებისა და დიფერენციაციის გამო იგი დაიშალა მრავალ დარგებად, [MASK] ერთმანეთთან არანაირი კავშირი არ აქვთ.",რომლებსაც,რომლებიც,რომლებმაც,-594.4321584702216,594.4321584702216,-594.165722101958,594.165722101958,-590.5486230573722,590.5486230573722
27,wiki_mineralogy_02114,3,"მინერალთა რეალურ [MASK] ახასიათებს დეფექტები და დისლოკაციები, გარკვეული მოუწესრიგებლობა.",სტრუქტურას,სტრუქტურა,სტრუქტურამ,-475.077112192583,475.077112192583,-486.0268269841914,486.0268269841914,-475.8749230278551,475.8749230278551
28,wiki_marketing_01923,7,"გაცვლა ხორციელდება გარკვეული წესების დაცვით, [MASK] ჰქვია გარიგება.",რომელსაც,რომელიც,რომელმაც,-319.02904031089366,319.02904031089366,-319.01051720295294,319.01051720295294,-321.42326669385164,321.42326669385164
29,wiki_music_02167,1,[MASK] ფესვები 1940 და 1950-იანების როკ-ენ-როლიდან აქვს.,მას,იგი,მან,-229.70115423992956,229.70115423992956,-223.9107687788407,223.9107687788407,-223.89712138766413,223.89712138766413
30,wiki_novel_02186,9,"რომანი — დიდი მოცულობის თხრობითი ლიტერატურული ნაწარმოები, [MASK] ახასიათებს რთული სიუჟეტი.",რომელსაც,რომელიც,რომელმაც,-489.97004288095053,489.97004288095053,-493.7953447611021,493.7953447611021,-492.2336367863437,492.2336367863437
31,wiki_novel_02201,1,"[MASK] მნიშვნელოვანი ადგილი უკავია თანამედროვე ლიტერატურაში, მაშინ, როდესაც ანტიკური ხანის ეპოქაში იგი ერთ-ერთი მეორეხარისხოვანი ჟანრთაგანი იყო.",რომანს,რომანი,რომანმა,-581.3784121572173,581.3784121572173,-565.1870745691725,565.1870745691725,-565.8321891806208,565.8321891806208
32,wiki_novel_02206,1,[MASK] გამოკვეთილ ლაიტმოტივად გასდევს რუსეთის იმპერიის როლის საკითხი რიცხოვნებით მცირე ერების ცხოვრებაში.,რომანს,რომანი,რომანმა,-526.0690249731508,526.0690249731508,-469.2785784939935,469.2785784939935,-462.936705297112,462.936705297112
33,wiki_paleogeography_02287,1,[MASK] ევალება გადამწერთა სოციალური და პროფესიული შემადგენლობის შესწავლაც.,მას,იგი,მან,-252.4419659467105,252.4419659467105,-237.8591847687831,237.8591847687831,-240.00629463640453,240.00629463640453
34,wiki_psychology_02623,6,"ფროიდი გვაფრთხილებს, რომ ფსიქოანალიზის [MASK] აუცილებლად თან სდევს არასრულფასოვნების განცდის გაცნობიერება და ასევე საკუთარი აზროვნების წინააღმდეგობრივი დამოკიდებულება მისდამი.",შესწავლას,შესწავლა,შესწავლამ,-769.4012219213025,769.4012219213025,-742.6008844317988,742.6008844317988,-769.3671162875034,769.3671162875034
35,wiki_psychology_02629,3,ფსიქოლოგია მარტო [MASK] აქვს.,ადამიანს,ადამიანი,ადამიანმა,-107.1410510886966,107.1410510886966,-106.44433491707267,106.44433491707267,-121.24894541000464,121.24894541000464
36,wiki_sinology_02690,2,კონფუცის [MASK] ჰყავს მაღალკვალიფიციური ქართველი და ჩინელი პედაგოგები.,ინსტიტუტს,ინსტიტუტი,ინსტიტუტმა,-319.7599739876326,319.7599739876326,-299.8582621620272,299.8582621620272,-354.8745636510211,354.8745636510211
37,wiki_sociolinguistics_02696,9,"სლენგი — მეტყველების არაფორმალური, არასტანდარტული სახეობა, [MASK] ახასიათებს ახლად გამოგონებული ან ახალი მნიშვნელობით ნახმარი სიტყვები და გამონათქვამები.",რომელსაც,რომელიც,რომელმაც,-705.0588784733039,705.0588784733039,-704.2502047960593,704.2502047960593,-705.5988303960478,705.5988303960478
38,wiki_sociology_02723,1,"[MASK] აინტერესებს ჩვენი ქმედება როგორც სოციალური არსებებისა; ამგვარად სოციოლოგიური ინტერესის სფერო მოიცავს, როგორც ანონიმურ ინდივიდუმთა მოკლე კონტაქტს ქუჩაში, ასევე გლობალურ სოციალურ პროცესთა შესწავლას.",სოციოლოგიას,სოციოლოგია,სოციოლოგიამ,-924.2735809332536,924.2735809332536,-893.5835715787032,893.5835715787032,-906.3109623274671,906.3109623274671
39,wiki_banking_00402,4,"ასევე, ეროვნულ [MASK] აქვს ექსკლუზიური უფლება, დაამზადოს მიმოქცევის ან სხვა მიზნით, სამახსოვრო ფულის ნიშნები.",ბანკს,ბანკი,ბანკმა,-446.3136998078741,446.3136998078741,-453.5249191655905,453.5249191655905,-454.27737637074466,454.27737637074466
40,wiki_biochemistry_00424,13,"ნუკლეინის მჟავის მოლეკულები ქმნის დნმს, იგი არის უაღრესად მნიშვნელოვანი ნივთიერება, [MASK] ყოველი უჯრედული ორგანიზმი გენური ინფორმაციის საწყობად იყენებს.",რომელსაც,რომელიც,რომელმაც,-763.9951558771145,763.9951558771145,-761.8735056286715,761.8735056286715,-765.2930923073071,765.2930923073071
41,wiki_computer_00673,1,"[MASK] აქვს გაშვებადი სახე, ანუ პროცესორი მას იყენებს პირდაპირ, რათა შეასრულოს ინსტრუქციები.",პროგრამას,პროგრამა,პროგრამამ,-310.41397079475183,310.41397079475183,-308.5020467608939,308.5020467608939,-329.68231460714895,329.68231460714895
42,wiki_cosmology_00732,2,"სამყაროს [MASK] ხანგრძლივი ისტორია აქვს და მოიცავს მეცნიერებას, ფილოსოფიას, ეზოთერიციზმსა და რელიგიას.",შესწავლას,შესწავლა,შესწავლამ,-439.4280737757607,439.4280737757607,-413.11875017338093,413.11875017338093,-442.4833753640362,442.4833753640362
43,GLC_00030,1,"[MASK] თავისი ამოცანა ჰქონდა გადასაწყვეტი – ეროვნულ-გამათავისუფლებელი მოძრაობა უნდა მიეყვანა ბოლომდე, გამხდარიყო დამოუკიდებელი.",მას,იგი,მან,-410.98174779492007,410.98174779492007,-394.14992194645134,394.14992194645134,-398.7658744880826,398.7658744880826
44,wiki_astrophysics_00271,12,"ხოლო ჭიის ხვრელები მიეკუთვნებიან იმ ჰიპოთეზებისა და თეორიების რიცხვს, რომლებიც [MASK] დაუდასტურებია და არავის აღმოუჩენია, მაგრამ არსებობს მათი არსებობის თეორიული შესაძლებლობა.",არავის,არავინ,არავინ,-704.8605919605553,704.8605919605553,-701.2579106110456,701.2579106110456,-701.2579106110456,701.2579106110456
45,wiki_phonology_02445,2,"ყოველ [MASK], ჩვეულებრივ, ერთი (ზოგჯერ ორი ან რამდენიმე) სამეტყველო ბგერა შეესაბამება.",ფონემას,ფონემა,ფონემამ,-387.8667249743315,387.8667249743315,-397.00069627334915,397.00069627334915,-394.87783377818556,394.87783377818556
46,wiki_phonology_02456,3,"ერთნაირი რაგვარობის [MASK] ჰომოგენური ბგერები ეწოდება, ხოლო სხვადასხვა რაგვარობის ბგერები ერთმანეთის მიმართ ჰეტეროგენულია.",ბგერებს,ბგერები,ბგერებმა,-543.5007312621667,543.5007312621667,-524.7949018635829,524.7949018635829,-543.3637067934129,543.3637067934129
47,wiki_physical_02467,4,ნივთიერებათა აღნაგობის კრისტალთქიმიის [MASK] აქვს ორი ასპექტი: სტერეო ქიმია და კრისტალთსტრუქტურული.,ანალიზს,ანალიზი,ანალიზმა,-565.6818247004709,565.6818247004709,-532.637513975811,532.637513975811,-566.7410774157122,566.7410774157122
48,wiki_physical_02498,1,[MASK] როგორც მეცნიერებას საფუძველი ჩაეყარა უძველეს დროში.,დედამიწისმცოდნეობას,დედამიწისმცოდნეობა,დედამიწისმცოდნეობამ,-392.1936917589728,392.1936917589728,-393.8845317405639,393.8845317405639,-402.30175396114305,402.30175396114305
49,wiki_political_02554,2,"პოლიტიკის [MASK] რამდენიმე ქვესფერო გააჩნია: პოლიტიკური თეორია, საჯარო პოლიტიკა, სახელმწიფო პოლიტიკა, საერთაშორისო ურთიერთობები და შედარებითი პოლიტიკა.",მეცნიერებას,მეცნიერება,მეცნიერებამ,-341.6887755236346,341.6887755236346,-343.31201421603487,343.31201421603487,-361.8079106997301,361.8079106997301
