Index,sentence_id,match_id,masked_text,form_grammatical_erg,form_ungrammatical_dat,form_ungrammatical_nom,p_form_grammatical_erg,I_form_grammatical_erg,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_customs_00832,2,"მისმა [MASK] შექმნა 20-ზე მეტი საბაჟო და 50 საბაჟო კონტროლის წერტილი, რათა თავიდან აიცილოს კონტრაბანდის შემოტანა და საბაჟო წესების დარღვევა.",სტრუქტურამ,სტრუქტურას,სტრუქტურა,5.082255247974006e-09,27.551884019771915,1.0434153215454089e-09,29.836039330770294,4.907881801708884e-10,30.924180444400477,0.77
1,wiki_cybernetics_00852,17,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას ხელი შეუწყო კიბერნეტიკისა და ინფორმატიკის [MASK].",განვითარებამ,განვითარებას,განვითარება,0.004887527817719198,7.6766793710152275,0.026142058894038197,5.25748342051414,0.010190446777349316,6.616638885146728,0.77
2,wiki_energy_01027,7,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა [MASK] საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ არისტოტელეს ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",მეცნიერებმა,მეცნიერებს,მეცნიერები,3.371203160597544e-08,24.822161187263333,1.2476110136854797e-11,36.22204085002791,1.131521138105413e-11,36.362945507715615,0.77
3,wiki_ethics_01131,1,[MASK] შემოგვინახა არსებითი ცნობები სოკრატეს ეთიკურ შეხედულებებზე.,მანვე,მას,იგი,1.045177014305802e-11,36.477461741613524,3.2544436034953556e-09,28.194941940116664,5.70409710576314e-08,24.063426216866457,0.99
4,wiki_farming_01202,8,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც [MASK] გარეული ცხოველები მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ადამიანმა,ადამიანს,ადამიანი,1.2816882750908267e-05,16.25159505387314,0.13409855961799624,2.8986343538652144,0.10456243157386778,3.2575634987296413,0.75
5,wiki_historiography_01456,1,"[MASK] ""სამართლიანად გამოიწვია შეშფოთება თანამედროვე მეცნიერებში"".",ამან,ამას,ეს,5.5948610722929907e-14,44.02289102077858,3.389079381577175e-07,21.492603235100905,2.679580290987358e-08,25.15341771346439,0.99
6,wiki_hydrology_01568,10,"პრაქტიკული გამოყენება ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის [MASK] (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",შესწავლამ,შესწავლას,შესწავლა,1.164289633620239e-08,26.355974765277235,1.8382683583337043e-06,19.053221176485987,8.150033170611438e-09,26.87054692286595,0.85
7,wiki_irrigation_01719,13,"2008 წლის აგვისტოს ომის შემდეგ არხის სათავე ე.წ. სამხრეთ ოსეთის დე ფაქტო [MASK] გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",ხელისუფლებამ,ხელისუფლებას,ხელისუფლება,0.0368715949850349,4.761346364142299,0.03703365847468377,4.755019112515501,8.061905997584173e-05,13.598519513079845,0.85
8,wiki_law_01766,3,რომაულმა კერძო [MASK] საჯაროსთან შედარებით ბევრად მნიშვნელოვანი კვალი დატოვა სამართლის ისტორიაში.,სამართალმა,სამართალს,სამართალი,4.0015026431805546e-11,34.540667181566604,7.181359164627409e-09,27.053095935495456,7.897084539033462e-09,26.916032719354085,0.79
9,wiki_literary_01821,3,თავდაპირველად ამ [MASK] პოპულარობა გერმანიაში მოიპოვა (მანამდე ფართოდ იყო გავრცელებული „ლიტერატურის ისტორია“).,ტერმინმა,ტერმინს,ტერმინი,0.00020576552600957642,12.246711086438726,2.813079453528452e-06,18.439418268149456,2.076649450806799e-06,18.87731086699121,0.77
10,wiki_mechanics_01979,1,[MASK] დასრულებული სახე მიიღო ისააკ ნიუტონის შრომებში.,მექანიკამ,მექანიკას,მექანიკა,1.5371296675626199e-21,69.14025112112644,1.741211871188552e-21,68.96039823139428,2.728731914461177e-23,74.9561155190819,0.96
11,wiki_medicine_02020,4,"ბუნებისმეტყველებისა და ტექნიკის [MASK], კლინიკურ-ანატომიური და კლინიკურ-ექსპერიმენტული მიმართულებების განვითარებამ, ავადმყოფობის კვლევის ობიექტურმა მეთოდებმა განაპირობებს მეცნიერული მედიცინის ჩამოყალიბება.",მიღწევებმა,მიღწევებს,მიღწევები,2.5019679434698405e-11,35.21814573870704,6.093661088251171e-10,30.61197168513015,6.146677265604234e-11,33.921402306134226,0.77
12,wiki_metallurgy_02045,7,ლითონმცოდნეობის დამოუკიდებელ მეცნიერებად ჩამოყალიბება განაპირობა ტექნიკურმა [MASK].,მოთხოვნებმა,მოთხოვნებს,მოთხოვნები,3.9640950421475054e-09,27.9103613013531,8.31270524750495e-12,36.80781908138452,7.691101011136621e-13,40.241875093137054,0.74
13,wiki_metaphysics_02050,2,ფარდობითობის [MASK] უარყო აბსოლუტური უძრაობის არსებობის მეტაფიზიკური თვალსაზრისი.,თეორიამ,თეორიას,თეორია,0.0010660425722042526,9.873519231666718,0.0011132570144615358,9.81099758265267,7.962229795940642e-06,16.938396060030065,0.73
14,wiki_metaphysics_02067,1,"[MASK] ვერ შეძლო ბუნების მრავალფეროვნების ახსნა, არსის მეტაფიზიკა დაუპირისპირა ფიზიკას, როგორც ბუნების ფილოსოფიას.",პარმენიდემ,პარმენიდეს,პარმენიდე,1.2279670922819767e-24,79.43000237818285,1.9620699291237128e-22,72.11004162669767,1.7479191825850584e-22,72.27677960610404,1.0
15,wiki_mineralogy_02109,4,1635 წელს იტალიელმა [MASK] ბ. ცეზიუსმა შემოიღო ტერმინი „მინერალოგია“.,მეცნიერმა,მეცნიერს,მეცნიერი,0.0003050737198221472,11.678554473363635,1.5789129748802907e-06,19.27263691311562,6.991143010907605e-06,17.126040222255867,0.9
16,wiki_mineralogy_02115,22,მინერალოგიური შინაარსის უძველესი წერილობითი წყარო - ეპიფანე კვიპრელის (319-403) მინერალოგიური ტრაქტატის თარგმანი „თვალთა“ — შემოგვინახა „შატბერდის [MASK]“ (X ს.).,კრებულმა,კრებულს,კრებული,7.478179638023298e-09,26.99466572649537,2.162842528335947e-07,22.14056803444515,3.5737658161300775e-10,31.38183584918285,0.76
17,wiki_molecular_02137,5,50-იანი წლების ბოლოს ინგლისელმა [MASK] ჯ. კენდრიუმ და მ. პერუციმ რენტგენოსტრუქტურული ანალიზით დაადგინეს მიოგლობინისა და ჰემოგლობინის სამგანზომილებიანი სტრუქტურა.,მეცნიერმა,მეცნიერს,მეცნიერი,8.802748122033943e-05,13.471686486698543,1.4356933368258182e-06,19.40982094599031,9.070465435230299e-07,20.072320082160015,0.89
18,wiki_novel_02194,1,[MASK] შთააგონა ალფრედ ჰიჩკოკის 1960 წლის ამავე სახელწოდების ფილმი და ტელესერიალი „ბეიტსის მოტელი“ (2013-2017).,რომანმა,რომანს,რომანი,7.310465853823947e-12,36.99317379490742,4.961293659190834e-13,40.87434888059461,3.69229892094377e-12,37.97861778330656,0.98
19,wiki_oriental_02269,1,"[MASK], თურქთა დემოგრაფიული მოძლიერების შედეგად ევროპაში, მეტად გაიფართოვა მეცნიერული კვლევის სპექტრი, საქართველოში კი თურქოლოგიას ჩაეყარა საფუძველი თბილისის უნივერსიტეტის დაარსების შემდეგ.",თურქოლოგიამ,თურქოლოგიას,თურქოლოგია,7.037232368172226e-25,80.23319422084593,7.653506793754958e-24,76.79015334325267,4.046063037643818e-25,81.03168357493055,1.0
20,wiki_paleontology_02316,4,ყველა ამ ტექნიკის [MASK] პალეონტოლოგებს საშუალება მისცა აღმოეჩინათ დედამიწაზე ცხოვრების ევოლუციური ისტორიის დიდი ნაწილი.,გამოყენებამ,გამოყენებას,გამოყენება,0.011119365831386292,6.490781680310749,0.011736145243048671,6.412897559174862,0.00015904243425761064,12.618300635893586,0.88
21,wiki_philology_02413,5,განსაკუთრებული განვითარება ჰპოვა ამ [MASK] მეოცე საუკუნის საქართველოში.,დარგმა,დარგს,დარგი,7.051947540903404e-07,20.435474921652137,1.4585834419641168e-09,29.352784932361477,3.389917631467407e-07,21.492246445161772,0.73
22,wiki_physical_02471,1,[MASK] დაადგინა ფიზიკური ქიმიის ერთ-ერთი ძირითადი კანონი — მასის მუდმივობის კანონი.,მანვე,მას,იგი,1.470328758405952e-11,35.98507027299011,1.9884331958763803e-09,28.905720760335374,1.8248857713842886e-07,22.385690502802465,1.0
23,wiki_politics_02589,5,ისინი მიიჩნევენ რომ ამ [MASK] ჩინეთის ეკონომიკურ განვითარებაში დიდი წვლილი შეიტანა.,პოლიტიკამ,პოლიტიკას,პოლიტიკა,1.2202414870997598e-05,16.32247378749669,1.2223179510328929e-05,16.32002086463732,9.889343271755783e-09,26.591478135837033,0.92
24,wiki_semiotics_02659,15,"მის ჩამოყალიბებას ხელი შეუწყო მათემატიკური ლოგიკის, ემპირიული ფსიქოლოგიის, კიბერნეტიკის, მათემატიკური ლინგვისტიკის [MASK].",განვითარებამ,განვითარებას,განვითარება,0.011937590376263962,6.38834453433153,0.02077893726527691,5.588734320004293,0.0005660510083315902,10.786780315624341,0.74
25,wiki_sociology_02734,4,"მისი აზრით, [MASK] ბუნებისმეტყველებიდან უნდა აიღოს ისეთი მეთოდები, როგორიც არის დაკვირვება, ცდა და შედარებითი ანალიზი.",სოციოლოგიამ,სოციოლოგიას,სოციოლოგია,6.58376958153939e-11,33.822295198491645,7.046376266578909e-11,33.72432752898576,2.1973835126741697e-12,38.72735045115985,0.83
26,wiki_tax_02795,1,[MASK] თავისი შემოსავალის (გამომუშავებული ფულის) გარკვეული პროცენტი სახელმწიფოს უნდა გადაუხადოს.,მოსახლეობამ,მოსახლეობას,მოსახლეობა,6.63410937505623e-13,40.45516243582786,6.29160439302722e-08,23.92199680006829,1.654601498529773e-13,42.458581439658495,0.99
27,wiki_telecommunications_02839,7,პირველი ელექტრომაგნიტური ტელეგრაფი 1832 წელს რუსმა [MASK] პავლე შილინგმა შექმნა.,მეცნიერმა,მეცნიერს,მეცნიერი,0.0002653038159150387,11.880066953277558,2.4195333094612468e-08,25.30069595831619,5.27757480491271e-08,24.175549636466922,0.79
28,wiki_telecommunications_02847,10,"განასხვავებენ ასევე საფოსტო კავშირს, რომელსაც საფუძველი ჩაუყარა წერილობითმა [MASK], საფოსტო კავშირი ინფორმაციის მიღება-გადაცემას ფოსტის საშუალებით ახდენს.",ინფორმაციამ,ინფორმაციას,ინფორმაცია,0.0031999765964571543,8.287722930892784,0.003206160850822926,8.28493747836384,0.00228862278163433,8.771304591935527,0.68
29,wiki_theology_02898,2,ამ [MASK] ახლებურად დააყენა ღვთისმეტყველების პრობლემატიკა.,მოვლენამ,მოვლენას,მოვლენა,2.142258285345112e-07,22.15436423243224,6.051308943592e-07,20.65624942229108,5.528475266274525e-07,20.7866150190309,0.68
30,wiki_veterinary_02926,10,"1959 წელს ინსტიტუტს შეუერთდა საქართველოს ვეტერინარიის სამეცნიერო-კვლევითი ინსტიტუტი და [MASK] მიიღო საქართველოს ზოოტექნიკურ-სავეტერინარო სასწავლო-კვლევითი ინსტიტუტის, ხოლო 1999 წლის 11 მაისიდან კი საქართველოს სახელმწიფო ზოოტექნიკურ-სავეტერინარო აკადემიის სახელწოდება.",მან,მას,იგი,0.4119798243045807,1.2793544081789834,0.0036746351979672917,8.088183252184361,0.009388522244989872,6.73488618936031,0.81
31,wiki_automotive_00362,1,[MASK] მეცნიერული სახე მიიღო გალილეო გალილეის შრომებში.,მექანიკამ,მექანიკას,მექანიკა,5.980313875011567e-27,87.11183735612416,7.508360882658682e-27,86.78356056827512,2.926156559567837e-28,91.46497969609509,1.0
32,wiki_biography_00445,4,"ვიზუალურმა და კინომატოგრაფიულმა [MASK] პერსონალური ცხოვრების აღწერაში ახალი განზომილება შეიტანეს, ის რაც წერითი ფორმებისთვის აქამდე შეუძლებელი იყო.",ეფექტებმა,ეფექტებს,ეფექტები,8.623333750805462e-08,23.4671790410664,2.079348275455557e-09,28.841221434803217,2.1660436720994478e-09,28.782290522911612,0.78
33,wiki_bioinformatics_00465,7,ინფორმატიკის განვითარებას დიდი სტიმული მისცა კომპიუტერის [MASK] და კომპიუტერული ტექნოლოგიის განვითარებამ.,გამოგონებამ,გამოგონებას,გამოგონება,1.271949886729059e-07,22.906454832890905,1.2805913435582658e-07,22.896686501320275,6.223486819531606e-08,23.937701656589812,0.96
34,wiki_bioinformatics_00480,12,"როდესაც ინჟინრები და ბიოლოგები ერთობლივად მუშაობდნენ, წარმოიშვა პრობლემა, რომ [MASK] არ იცოდნენ საკმარისი და საჭირო ინფორმაცია ბიოლოგიის შესახებ.",ინჟინრებმა,ინჟინრებს,ინჟინრები,2.509364604348945e-17,55.14545550715669,1.0051240547252657e-13,43.177691660398324,5.874007469895832e-14,43.95264822810338,0.88
35,wiki_biology_00498,13,"პირველად ვირუსის, როგორც დაავადებათა გამომწვევის არსებობა, 1892 წელს დაამტკიცა რუსმა [MASK] დავით ივანოვსკიმ.",მეცნიერმა,მეცნიერს,მეცნიერი,0.00039334355265298896,11.311922443159858,6.072955878003727e-07,20.651097776633375,2.0416028460054625e-06,18.901866323982624,0.89
36,wiki_biotechnology_00542,13,"ახალი ტექნოლოგიების (მიკროელექტრონიკა, რობოტექნიკა, ბიოტექნოლოგია და სხვ.) არნახულმა [MASK], რევოლუციამ ტელეკომუნიკაციებში, მსოფლიო კომპიუტერული ქსელის (ინტერნეტის, ელექტროფოსტის), ფიჭური კავშირგაბმულობის გავრცელებამ, მათი შესაძლებლობების განუხრელმა ზრდამ და გამოყენებამ, შედეგად მოგვცა ის, რომ შეიცვალა დროისა და მანძილის ოდინდელი მნიშვნელობა.",განვითარებამ,განვითარებას,განვითარება,0.11270755775576809,3.149343834291309,0.1133081093430519,3.14167697785654,7.283517876357107e-05,13.745005046412146,0.76
37,wiki_biotechnology_00547,5,"2022 წელს სინგაპურის ბიოფარმულმა [MASK] 18 მილიარდი ამერიკული დოლარის ღირებულების პროდუქცია აწარმოა, რაც ბოლო ორ ათწლეულში გასამმაგებული მაჩვენებელია.",მრეწველობამ,მრეწველობას,მრეწველობა,1.2437077072519413e-13,42.87041776643243,1.2543425288260514e-13,42.85813386852119,2.469033157463879e-14,45.20304711738284,0.84
38,wiki_children's_00631,3,"მიუხედავად ამისა [MASK] მოახერხა კუნძულიდან გამოქცევა, მისი ცხოვრებაც კარგად წარიმართა, მაგრამ იგი თავისი მეგობარის დაუდევრობის გამო დაიღუპა.",მან,მას,იგი,0.05121511593461036,4.287286511085402,0.0021771539468318233,8.843340860379723,0.0013707063626497986,9.510864739454028,0.78
39,wiki_computer_00677,7,ინფორმატიკის განვითარებას დიდი სტიმული მისცა კომპიუტერის [MASK] და კომპიუტერული ტექნოლოგიის განვითარებამ.,გამოგონებამ,გამოგონებას,გამოგონება,1.271949886729059e-07,22.906454832890905,1.2805913435582658e-07,22.896686501320275,6.223486819531606e-08,23.937701656589812,0.96
40,wiki_criminal_00766,2,"ახალმა [MASK] ჩამოაყალიბა მტკიცებულებებისა და მტკიცების წესების ახლებური და მარტივი სისტემა, რომელიც ეყრდნობა ძირითად მტკიცებით სტანდარტებს — გონივრული ეჭვის, დასაბუთებული ვარაუდის, მაღალი ალბათობის ხარისხისა და გონივრული ეჭვის მიღმა (უტყუარი მტკიცებულების) სტანდარტებს.",კოდექსმა,კოდექსს,კოდექსი,4.023885705948634e-09,27.888763526428026,2.185113566940758e-10,32.091572685987806,4.569685134802851e-11,34.349114281127065,0.8
41,GLC_00105,7,რატომღაც ბრძოლის ველის თავისებურ დრტვინვას მიამსგავსა [MASK] ეს გრგვინვა.,მან,მას,იგი,0.006016714964061977,7.3768082725302975,0.0003474098921287805,11.491073545702776,0.00399331469088793,7.968197517450896,0.71
42,wiki_agriculture_00039,5,სოფლის მეურნეობის განვითარების საერთაშორისო [MASK] განვითარებად ქვეყნებში მაღალი ფასების პირობებში სოფლის მეურნეობის პროდუქციის გასაზრდელად გრანტისა და სესხების სახით 200 მილიონი აშშ დოლარი გამოყო.,ფონდმა,ფონდს,ფონდი,0.00013972856737153383,12.805085371029174,0.0001694868115009741,12.52653936413714,2.6270724483277845e-07,21.86004067713855,0.84
43,wiki_agriculture_00044,10,"ჩაის მრეწველობა ბრიტანეთის ინდოეთის დროს განვითარდა, როდესაც ოსტინდოეთის [MASK] სილჰეტის რეგიონში ჩაით ვაჭრობა დაიწყო.",კომპანიამ,კომპანიას,კომპანია,0.0003228354783030748,11.596913245917259,0.0003282527031842618,11.572905487686516,6.082460378583107e-07,20.648841646796757,0.9
44,wiki_analytical_00094,13,"ისტორიული წყაროების თანახმად ტერმინი „ქიმია“ იმ მნიშვნელობით, რომელიც, [MASK] დასავლურ ევროპულ ცივილიზაციაში შეიძინა, პირველად გამოიყენა ზოსიმე პანოპოლიტანელმა ჩვენი წელთაღრიცხვის IV საუკუნის მეორე ნახევარში.",მან,მას,იგი,0.02514686435461044,5.3134776729281885,0.001203410443849862,9.698655502235711,0.009722534567117695,6.684451825692177,0.76
45,wiki_anthropology_00134,1,"[MASK] პირველმა გამოთქვა მოსაზრება კლიმატის გავლენის თაობაზე, როგორც ადამიანის, ასევე მისი სულიერი განვითარების წყობის ჩამოყალიბებაზე.",მან,მას,იგი,6.739063707072994e-08,23.822876594842217,3.464699416255717e-09,28.104622658763056,4.521348273556214e-08,24.398671708245747,1.0
46,wiki_art_00191,4,უძველესი ცივილიზაციების თითოეულმა [MASK] განავითარა მისთვის დამახასიათებელი გამორჩეული ხელოვნების სტილი.,ცენტრმა,ცენტრს,ცენტრი,3.08946914501703e-08,24.948065793993702,2.7438683900982148e-05,15.153429190267996,3.353044560225849e-11,34.79573738783189,0.72
47,wiki_art_00192,3,"აღორძინების ხანის [MASK] განსაკუთრებული მნიშვნელობა მიანიჭა მატერიალური სამყაროს რეალურად გამოსახვას და ადამიანის როლს მასში, რაც აისახა ადამიანის სხეულის რეალისტურ გადმოცემაში და გრაფიკული პერსპექტივის სისტემატიური მეთოდის განვითარებაში სამგანზომილებიანი სივრცის სიღრმის გადმოსაცემად.",ხელოვნებამ,ხელოვნებას,ხელოვნება,0.005340464447063238,7.548819069652347,0.013101180084049702,6.254159421925897,0.0003904348796731577,11.322630437089959,0.81
48,wiki_art_00214,1,[MASK] პრიორიტეტად ავსტრალიური ხელოვნები 2002 წლიდან გაიხადა.,მუზეუმმა,მუზეუმს,მუზეუმი,3.662549584913269e-20,64.56571360635591,1.000000000000001e-12,39.86313713864835,5.188544908886251e-19,60.7413038012838,1.0
49,wiki_automatic_00317,6,საბჭოთა ოკუპაციის შემდეგ სახელმწიფო კონტროლიორის [MASK] ფუნქციონირება შეწყვიტა.,ინსტიტუტმა,ინსტიტუტს,ინსტიტუტი,1.076580031803324e-06,19.82511299743257,0.038343664258718484,4.7048679770441035,7.048861144396754e-06,17.11417838330949,0.79
