,model,repo,form,prob,task
0,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0501115409898296,INTRANSITIVE NOMINATIVE (SUBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.1173594687041935,INTRANSITIVE NOMINATIVE (SUBJECT)
2,RemBERT,google/rembert,NOM,1.2675139315018998e-06,INTRANSITIVE NOMINATIVE (SUBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.1421235882421725,INTRANSITIVE NOMINATIVE (SUBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.1504992653495663,INTRANSITIVE NOMINATIVE (SUBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,DAT,5.732303837039165e-05,INTRANSITIVE NOMINATIVE (SUBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,DAT,0.0003594483465078,INTRANSITIVE NOMINATIVE (SUBJECT)
7,RemBERT,google/rembert,DAT,5.231723791836842e-07,INTRANSITIVE NOMINATIVE (SUBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.0009525660633098,INTRANSITIVE NOMINATIVE (SUBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.000876048375237,INTRANSITIVE NOMINATIVE (SUBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,ERG,2.336051778691388e-05,INTRANSITIVE NOMINATIVE (SUBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,ERG,0.0001194541551027,INTRANSITIVE NOMINATIVE (SUBJECT)
12,RemBERT,google/rembert,ERG,2.446710080493057e-07,INTRANSITIVE NOMINATIVE (SUBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,0.0005684360789453,INTRANSITIVE NOMINATIVE (SUBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,0.0006182116061711,INTRANSITIVE NOMINATIVE (SUBJECT)
0,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0333418059000164,NOMINATIVE - DATIVE (SUBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.080909822982359,NOMINATIVE - DATIVE (SUBJECT)
2,RemBERT,google/rembert,NOM,1.5123647257473973e-06,NOMINATIVE - DATIVE (SUBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.1657604844965906,NOMINATIVE - DATIVE (SUBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.1771411107915305,NOMINATIVE - DATIVE (SUBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,DAT,0.0001394972820772,NOMINATIVE - DATIVE (SUBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,DAT,0.0005246040258448,NOMINATIVE - DATIVE (SUBJECT)
7,RemBERT,google/rembert,DAT,4.848026475679133e-07,NOMINATIVE - DATIVE (SUBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.0013215885352731,NOMINATIVE - DATIVE (SUBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.0021289682732736,NOMINATIVE - DATIVE (SUBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,ERG,2.014035046866997e-05,NOMINATIVE - DATIVE (SUBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,ERG,2.3582301910183067e-05,NOMINATIVE - DATIVE (SUBJECT)
12,RemBERT,google/rembert,ERG,3.3352165103602684e-07,NOMINATIVE - DATIVE (SUBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,0.0010979744244196,NOMINATIVE - DATIVE (SUBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,0.0002441164836389,NOMINATIVE - DATIVE (SUBJECT)
0,HPLT,HPLT/hplt_bert_base_ka,DAT,0.0383303610471955,NOMINATIVE - DATIVE (OBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,DAT,0.0678522330295388,NOMINATIVE - DATIVE (OBJECT)
2,RemBERT,google/rembert,DAT,5.932696736811211e-07,NOMINATIVE - DATIVE (OBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.1817646580811827,NOMINATIVE - DATIVE (OBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.1728673751420913,NOMINATIVE - DATIVE (OBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0008890465545116,NOMINATIVE - DATIVE (OBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.02705531523856,NOMINATIVE - DATIVE (OBJECT)
7,RemBERT,google/rembert,NOM,1.5084226845366995e-06,NOMINATIVE - DATIVE (OBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.0256219296271307,NOMINATIVE - DATIVE (OBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.0178072966459362,NOMINATIVE - DATIVE (OBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,ERG,4.126754620291371e-05,NOMINATIVE - DATIVE (OBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,ERG,0.0001962078298693,NOMINATIVE - DATIVE (OBJECT)
12,RemBERT,google/rembert,ERG,9.63763079058694e-07,NOMINATIVE - DATIVE (OBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,8.720683146395376e-05,NOMINATIVE - DATIVE (OBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,3.468559431260144e-05,NOMINATIVE - DATIVE (OBJECT)
0,HPLT,HPLT/hplt_bert_base_ka,ERG,0.0233471254599524,ERGATIVE - NOMINATIVE (SUBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,ERG,0.0072305277010446,ERGATIVE - NOMINATIVE (SUBJECT)
2,RemBERT,google/rembert,ERG,1.3420703413704482e-07,ERGATIVE - NOMINATIVE (SUBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,0.0321388005979334,ERGATIVE - NOMINATIVE (SUBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,0.0136647247671092,ERGATIVE - NOMINATIVE (SUBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0002751583998915,ERGATIVE - NOMINATIVE (SUBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.0023101920297799,ERGATIVE - NOMINATIVE (SUBJECT)
7,RemBERT,google/rembert,NOM,2.247523732643181e-06,ERGATIVE - NOMINATIVE (SUBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.0171036596758675,ERGATIVE - NOMINATIVE (SUBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.0081362308019719,ERGATIVE - NOMINATIVE (SUBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,DAT,0.0003647057925164,ERGATIVE - NOMINATIVE (SUBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,DAT,0.0059724512238033,ERGATIVE - NOMINATIVE (SUBJECT)
12,RemBERT,google/rembert,DAT,2.822413135211342e-07,ERGATIVE - NOMINATIVE (SUBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.0005282960666481,ERGATIVE - NOMINATIVE (SUBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.0028562973955753,ERGATIVE - NOMINATIVE (SUBJECT)
0,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0989716929916517,ERGATIVE - NOMINATIVE (OBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.0001248672788833,ERGATIVE - NOMINATIVE (OBJECT)
2,RemBERT,google/rembert,NOM,1.1197495923005785e-06,ERGATIVE - NOMINATIVE (OBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.1097250210947331,ERGATIVE - NOMINATIVE (OBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.1280391408294265,ERGATIVE - NOMINATIVE (OBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,ERG,2.962444827432935e-06,ERGATIVE - NOMINATIVE (OBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,ERG,1.6045323750451512e-06,ERGATIVE - NOMINATIVE (OBJECT)
7,RemBERT,google/rembert,ERG,5.380242191021972e-12,ERGATIVE - NOMINATIVE (OBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,0.0001298206773384,ERGATIVE - NOMINATIVE (OBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,0.0002780268204813,ERGATIVE - NOMINATIVE (OBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,DAT,0.0001100768810976,ERGATIVE - NOMINATIVE (OBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,DAT,1.4838203426752886e-05,ERGATIVE - NOMINATIVE (OBJECT)
12,RemBERT,google/rembert,DAT,6.152494028539826e-12,ERGATIVE - NOMINATIVE (OBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.0036482427133218,ERGATIVE - NOMINATIVE (OBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.0018829252017751,ERGATIVE - NOMINATIVE (OBJECT)
0,HPLT,HPLT/hplt_bert_base_ka,DAT,0.0494043718860389,DATIVE - NOMINATIVE (SUBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,DAT,0.0424495855929659,DATIVE - NOMINATIVE (SUBJECT)
2,RemBERT,google/rembert,DAT,1.0743193541877871e-06,DATIVE - NOMINATIVE (SUBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.1079644131404487,DATIVE - NOMINATIVE (SUBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.09195286922839,DATIVE - NOMINATIVE (SUBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0102939278237519,DATIVE - NOMINATIVE (SUBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.0153729709086152,DATIVE - NOMINATIVE (SUBJECT)
7,RemBERT,google/rembert,NOM,1.0106973487588698e-06,DATIVE - NOMINATIVE (SUBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.0058361066836522,DATIVE - NOMINATIVE (SUBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.0052887598104909,DATIVE - NOMINATIVE (SUBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,ERG,0.0001456223275113,DATIVE - NOMINATIVE (SUBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,ERG,0.0002123120171199,DATIVE - NOMINATIVE (SUBJECT)
12,RemBERT,google/rembert,ERG,9.359589101449736e-07,DATIVE - NOMINATIVE (SUBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,0.0005595145280868,DATIVE - NOMINATIVE (SUBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,0.0001038398250869,DATIVE - NOMINATIVE (SUBJECT)
0,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0379018472158598,DATIVE - NOMINATIVE (OBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.0446649855565699,DATIVE - NOMINATIVE (OBJECT)
2,RemBERT,google/rembert,NOM,1.163584954648511e-06,DATIVE - NOMINATIVE (OBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.1994844675385478,DATIVE - NOMINATIVE (OBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.2031559052671435,DATIVE - NOMINATIVE (OBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,DAT,5.9910639488306913e-05,DATIVE - NOMINATIVE (OBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,DAT,0.0006044032770311,DATIVE - NOMINATIVE (OBJECT)
7,RemBERT,google/rembert,DAT,4.611846776797209e-08,DATIVE - NOMINATIVE (OBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.0266759367400001,DATIVE - NOMINATIVE (OBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.0060453449524635,DATIVE - NOMINATIVE (OBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,ERG,1.3779785093912876e-06,DATIVE - NOMINATIVE (OBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,ERG,2.7978071352535963e-05,DATIVE - NOMINATIVE (OBJECT)
12,RemBERT,google/rembert,ERG,6.973959426733976e-12,DATIVE - NOMINATIVE (OBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,0.0015573861046586,DATIVE - NOMINATIVE (OBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,0.0001672392574821,DATIVE - NOMINATIVE (OBJECT)
